,function_name,migration_count,total_instruction_count,total_regs_migrated,percent_total_instructions,percent_total_migrations
0,printf_core,1062,561580,24426,17.4344601148,23.1473408893
1,__fwritex,0,332008,0,10.3073119302,0.0
2,memcpy,1607,262215,36961,8.14056226894,35.0261551874
3,memset,19,215198,437,6.68090200466,0.414123801221
4,fwrite_unlocked,0,158144,0,4.9096393397,0.0
5,std::__1::__pad_and_output<...>,180,152972,4140,4.74907267473,3.92327811683
6,vfprintf,0,124792,0,3.8742140864,0.0
7,std::__1::__put_character_sequence<...>,0,110370,0,3.42647772867,0.0
8,std::__1::__stdoutbuf<char>::xsputn,90,89768,2070,2.7868809708,1.96163905841
9,std::__1::num_put<...>::do_put,54,78440,1242,2.43519899463,1.17698343505
10,sn_write,0,67424,0,2.09320317458,0.0
11,vsnprintf,0,62430,0,1.93816258586,0.0
12,std::__1::__num_put<char>::__widen_and_group_int,72,62330,1656,1.93505804864,1.56931124673
13,std::__1::__stdoutbuf<char>::sync,0,61664,0,1.91438183076,0.0
14,llvm.memset.p0i8.i64,19,58914,437,1.82900705723,0.414123801221
15,fflush,0,53227,0,1.65245202559,0.0
16,std::__1::basic_ostream<...>::sentry::~sentry,0,48246,0,1.49781502671,0.0
17,std::__1::basic_ostream<...>::sentry::sentry,0,48074,0,1.49247522269,0.0
18,strlen,88,45432,2024,1.41045334936,1.91804707934
19,uselocale,90,41690,2070,1.29428156662,1.96163905841
