,function_name,migration_count,total_instruction_count,total_regs_migrated,percent_total_instructions,percent_total_migrations
0,vfscanf,0,24137,0,10.0694603784,
1,memcpy,0,20280,0,8.46039924073,
2,malloc,0,16329,0,6.81212323481,
3,free,0,12759,0,5.32279259924,
4,std::__1::vector<...>::__push_back_slow_path<...>,0,11976,0,4.99614109009,
5,operator new,0,10880,0,4.53891241317,
6,__intscan,0,10240,0,4.27191756534,
7,operator delete,0,8840,0,3.6878663357,
8,printf_core,0,8153,0,3.40126405373,
9,main,0,7543,0,3.14678458939,
10,GraphBLAS::backend::mxm<...>,0,7317,0,3.05250203375,
11,GraphBLAS::backend::LilSparseMatrix<int>::setElement<...>,0,6698,0,2.79426795436,
12,std::__1::vector<...>::__push_back_slow_path<...>,0,6474,0,2.70081975762,
13,std::__1::vector<...>::__construct_at_end<...>,0,6248,0,2.60653720198,
14,std::__1::vector<...>::insert,0,6004,0,2.50474541624,
15,GraphBLAS::backend::LilSparseMatrix<int>::setCol<int>,0,5799,0,2.41922362904,
16,llvm.memcpy.p0i8.p0i8.i64,0,5300,0,2.21105108362,
17,__fwritex,0,5125,0,2.13804467992,
18,memset,0,3802,0,1.58611626791,
19,GraphBLAS::mxm<...>,0,3227,0,1.34623808431,
